,time,consumption,temperature,hour,day_of_week,load_t-24h,temperature_t-24h,load_t-25h,temperature_t-25h,load_t-26h,temperature_t-26h,load_t-48h,temperature_t-48h,load_t-49h,temperature_t-49h,load_t-50h,temperature_t-50h,load_t-72h,temperature_t-72h,original_location,location_bergen,location_helsingfors,location_oslo,location_stavanger,location_tromsø,location_trondheim
960,2022-04-15 21:00:00,0.8492240000000001,5.0,21,4,1.107026,7.300000190734863,1.163063,7.699999809265137,1.1739559999999998,8.899999618530273,1.08075,5.0,1.101726,5.5,1.141766,5.800000190734863,1.113325,4.5,bergen,1,0,0,0,0,0
965,2022-04-15 22:00:00,0.809591,3.5,22,4,1.071995,6.300000190734863,1.107026,7.300000190734863,1.163063,7.699999809265137,1.033282,4.800000190734863,1.08075,5.0,1.101726,5.5,1.050327,4.199999809265137,bergen,1,0,0,0,0,0
970,2022-04-15 23:00:00,0.807823,2.5,23,4,1.016599,6.0,1.071995,6.300000190734863,1.107026,7.300000190734863,1.017717,4.800000190734863,1.033282,4.800000190734863,1.08075,5.0,1.008794,3.5999999046325684,bergen,1,0,0,0,0,0
1030,2022-04-16 11:00:00,0.884435,9.199999809265137,11,5,1.121834,12.699999809265137,1.144222,12.399999618530272,1.170277,11.699999809265137,1.113362,12.800000190734863,1.122025,12.199999809265137,1.181955,10.800000190734863,0.92572,6.199999809265137,bergen,1,0,0,0,0,0
1035,2022-04-16 12:00:00,0.8774409999999999,8.899999618530273,12,5,1.098067,12.399999618530272,1.121834,12.699999809265137,1.144222,12.399999618530272,1.122033,13.100000381469728,1.113362,12.800000190734863,1.122025,12.199999809265137,0.8948769999999999,6.099999904632568,bergen,1,0,0,0,0,0
1040,2022-04-16 13:00:00,0.890053,9.0,13,5,1.121641,12.0,1.098067,12.399999618530272,1.121834,12.699999809265137,1.121994,11.699999809265137,1.122033,13.100000381469728,1.113362,12.800000190734863,0.93128,6.5,bergen,1,0,0,0,0,0
1045,2022-04-16 14:00:00,0.938891,9.300000190734863,14,5,1.113527,11.5,1.121641,12.0,1.098067,12.399999618530272,1.142983,11.5,1.121994,11.699999809265137,1.122033,13.100000381469728,1.000043,7.099999904632568,bergen,1,0,0,0,0,0
1050,2022-04-16 15:00:00,0.964838,9.699999809265137,15,5,1.12973,11.800000190734863,1.113527,11.5,1.121641,12.0,1.184511,11.600000381469728,1.142983,11.5,1.121994,11.699999809265137,1.045292,7.599999904632568,bergen,1,0,0,0,0,0
1055,2022-04-16 16:00:00,0.951411,9.300000190734863,16,5,1.103335,11.300000190734863,1.12973,11.800000190734863,1.113527,11.5,1.1741929999999998,11.800000190734863,1.184511,11.600000381469728,1.142983,11.5,1.102252,7.300000190734863,bergen,1,0,0,0,0,0
1060,2022-04-16 17:00:00,0.960282,8.699999809265137,17,5,1.102513,10.5,1.103335,11.300000190734863,1.12973,11.800000190734863,1.170724,10.899999618530272,1.1741929999999998,11.800000190734863,1.184511,11.600000381469728,1.087735,6.900000095367432,bergen,1,0,0,0,0,0
1065,2022-04-16 18:00:00,0.944161,7.699999809265137,18,5,1.161933,9.399999618530272,1.102513,10.5,1.103335,11.300000190734863,1.1787,9.600000381469728,1.170724,10.899999618530272,1.1741929999999998,11.800000190734863,1.1014780000000002,6.5,bergen,1,0,0,0,0,0
1070,2022-04-16 19:00:00,0.948666,6.5,19,5,1.180941,7.599999904632568,1.161933,9.399999618530272,1.102513,10.5,1.1739559999999998,8.899999618530273,1.1787,9.600000381469728,1.170724,10.899999618530272,1.141766,5.800000190734863,bergen,1,0,0,0,0,0
1075,2022-04-16 20:00:00,0.945413,5.599999904632568,20,5,1.112497,6.199999809265137,1.180941,7.599999904632568,1.161933,9.399999618530272,1.163063,7.699999809265137,1.1739559999999998,8.899999618530273,1.1787,9.600000381469728,1.101726,5.5,bergen,1,0,0,0,0,0
1080,2022-04-16 21:00:00,0.883729,5.199999809265137,21,5,1.061153,5.0,1.112497,6.199999809265137,1.180941,7.599999904632568,1.107026,7.300000190734863,1.163063,7.699999809265137,1.1739559999999998,8.899999618530273,1.08075,5.0,bergen,1,0,0,0,0,0
1085,2022-04-16 22:00:00,0.853688,5.0,22,5,0.991066,3.5,1.061153,5.0,1.112497,6.199999809265137,1.071995,6.300000190734863,1.107026,7.300000190734863,1.163063,7.699999809265137,1.033282,4.800000190734863,bergen,1,0,0,0,0,0
1090,2022-04-16 23:00:00,0.824434,4.5,23,5,0.956142,2.5,0.991066,3.5,1.061153,5.0,1.016599,6.0,1.071995,6.300000190734863,1.107026,7.300000190734863,1.017717,4.800000190734863,bergen,1,0,0,0,0,0
1150,2022-04-17 11:00:00,0.858463,14.199999809265137,11,6,0.987355,9.199999809265137,1.035897,9.399999618530272,1.046296,9.0,1.121834,12.699999809265137,1.144222,12.399999618530272,1.170277,11.699999809265137,1.113362,12.800000190734863,bergen,1,0,0,0,0,0
