,time,consumption,temperature,hour,day_of_week,load_t-24h,temperature_t-24h,load_t-25h,temperature_t-25h,load_t-26h,temperature_t-26h,load_t-48h,temperature_t-48h,load_t-49h,temperature_t-49h,load_t-50h,temperature_t-50h,load_t-72h,temperature_t-72h,original_location,location_bergen,location_helsingfors,location_oslo,location_stavanger,location_tromsø,location_trondheim
12913,2022-07-22 21:00:00,2.528,18.200000762939453,21,4,2.691,15.5,2.664,15.699999809265137,2.667,16.0,0.0,17.100000381469727,0.0,17.700000762939453,0.0,18.399999618530277,0.0,15.300000190734863,helsingfors,0,1,0,0,0,0
12919,2022-07-22 22:00:00,2.539,17.200000762939453,22,4,2.673,15.600000381469728,2.691,15.5,2.664,15.699999809265137,0.0,16.700000762939453,0.0,17.100000381469727,0.0,17.700000762939453,0.0,14.800000190734863,helsingfors,0,1,0,0,0,0
12925,2022-07-22 23:00:00,2.525,17.0,23,4,2.646,15.899999618530272,2.673,15.600000381469728,2.691,15.5,0.0,16.100000381469727,0.0,16.700000762939453,0.0,17.100000381469727,0.0,14.300000190734863,helsingfors,0,1,0,0,0,0
12997,2022-07-23 11:00:00,2.547,17.799999237060547,11,5,2.642,18.600000381469727,2.634,18.0,2.644,17.600000381469727,2.641,17.700000762939453,2.619,16.799999237060547,2.645,16.0,0.0,19.299999237060547,helsingfors,0,1,0,0,0,0
13003,2022-07-23 12:00:00,2.54,17.799999237060547,12,5,2.652,18.799999237060547,2.642,18.600000381469727,2.634,18.0,2.641,18.299999237060547,2.641,17.700000762939453,2.619,16.799999237060547,0.0,19.799999237060547,helsingfors,0,1,0,0,0,0
13009,2022-07-23 13:00:00,2.53,17.600000381469727,13,5,2.632,18.200000762939453,2.652,18.799999237060547,2.642,18.600000381469727,2.655,17.100000381469727,2.641,18.299999237060547,2.641,17.700000762939453,0.0,19.899999618530277,helsingfors,0,1,0,0,0,0
13015,2022-07-23 14:00:00,2.548,17.299999237060547,14,5,2.654,18.0,2.632,18.200000762939453,2.652,18.799999237060547,2.652,17.100000381469727,2.655,17.100000381469727,2.641,18.299999237060547,0.0,20.299999237060547,helsingfors,0,1,0,0,0,0
13021,2022-07-23 15:00:00,2.546,17.200000762939453,15,5,2.635,17.799999237060547,2.654,18.0,2.632,18.200000762939453,2.628,17.299999237060547,2.652,17.100000381469727,2.655,17.100000381469727,0.0,20.600000381469727,helsingfors,0,1,0,0,0,0
13027,2022-07-23 16:00:00,2.53,17.0,16,5,2.639,17.700000762939453,2.635,17.799999237060547,2.654,18.0,2.648,17.200000762939453,2.628,17.299999237060547,2.652,17.100000381469727,0.0,20.299999237060547,helsingfors,0,1,0,0,0,0
13033,2022-07-23 17:00:00,2.556,16.700000762939453,17,5,2.633,17.5,2.639,17.700000762939453,2.635,17.799999237060547,2.6,16.799999237060547,2.648,17.200000762939453,2.628,17.299999237060547,0.0,19.899999618530277,helsingfors,0,1,0,0,0,0
13039,2022-07-23 18:00:00,2.546,16.399999618530273,18,5,2.646,17.899999618530273,2.633,17.5,2.639,17.700000762939453,2.604,16.299999237060547,2.6,16.799999237060547,2.648,17.200000762939453,0.0,19.100000381469727,helsingfors,0,1,0,0,0,0
13045,2022-07-23 19:00:00,2.525,16.0,19,5,2.67,18.299999237060547,2.646,17.899999618530273,2.633,17.5,2.667,16.0,2.604,16.299999237060547,2.6,16.799999237060547,0.0,18.399999618530277,helsingfors,0,1,0,0,0,0
13051,2022-07-23 20:00:00,2.526,15.899999618530272,20,5,2.65,18.5,2.67,18.299999237060547,2.646,17.899999618530273,2.664,15.699999809265137,2.667,16.0,2.604,16.299999237060547,0.0,17.700000762939453,helsingfors,0,1,0,0,0,0
13057,2022-07-23 21:00:00,2.528,15.899999618530272,21,5,2.66,18.200000762939453,2.65,18.5,2.67,18.299999237060547,2.691,15.5,2.664,15.699999809265137,2.667,16.0,0.0,17.100000381469727,helsingfors,0,1,0,0,0,0
13063,2022-07-23 22:00:00,2.628,15.899999618530272,22,5,2.656,17.200000762939453,2.66,18.200000762939453,2.65,18.5,2.673,15.600000381469728,2.691,15.5,2.664,15.699999809265137,0.0,16.700000762939453,helsingfors,0,1,0,0,0,0
13069,2022-07-23 23:00:00,2.614,15.800000190734863,23,5,2.665,17.0,2.656,17.200000762939453,2.66,18.200000762939453,2.646,15.899999618530272,2.673,15.600000381469728,2.691,15.5,0.0,16.100000381469727,helsingfors,0,1,0,0,0,0
13141,2022-07-24 11:00:00,2.531,15.699999809265137,11,6,2.899,17.799999237060547,2.735,17.600000381469727,2.649,17.600000381469727,2.642,18.600000381469727,2.634,18.0,2.644,17.600000381469727,2.641,17.700000762939453,helsingfors,0,1,0,0,0,0
13147,2022-07-24 12:00:00,2.526,15.600000381469728,12,6,2.911,17.799999237060547,2.899,17.799999237060547,2.735,17.600000381469727,2.652,18.799999237060547,2.642,18.600000381469727,2.634,18.0,2.641,18.299999237060547,helsingfors,0,1,0,0,0,0
13153,2022-07-24 13:00:00,2.525,15.800000190734863,13,6,2.915,17.600000381469727,2.911,17.799999237060547,2.899,17.799999237060547,2.632,18.200000762939453,2.652,18.799999237060547,2.642,18.600000381469727,2.655,17.100000381469727,helsingfors,0,1,0,0,0,0
13159,2022-07-24 14:00:00,2.523,16.100000381469727,14,6,2.91,17.299999237060547,2.915,17.600000381469727,2.911,17.799999237060547,2.654,18.0,2.632,18.200000762939453,2.652,18.799999237060547,2.652,17.100000381469727,helsingfors,0,1,0,0,0,0
13165,2022-07-24 15:00:00,2.537,16.200000762939453,15,6,2.913,17.200000762939453,2.91,17.299999237060547,2.915,17.600000381469727,2.635,17.799999237060547,2.654,18.0,2.632,18.200000762939453,2.628,17.299999237060547,helsingfors,0,1,0,0,0,0
