,time,consumption,temperature,hour,day_of_week,load_t-24h,temperature_t-24h,load_t-25h,temperature_t-25h,load_t-26h,temperature_t-26h,load_t-48h,temperature_t-48h,load_t-49h,temperature_t-49h,load_t-50h,temperature_t-50h,load_t-72h,temperature_t-72h,original_location,location_bergen,location_helsingfors,location_oslo,location_stavanger,location_tromsø,location_trondheim
961,2022-04-15 21:00:00,2.841245,6.0,21,4,3.613568,2.900000095367432,3.729802,3.299999952316284,3.766266,5.199999809265137,3.926266,2.900000095367432,3.988677,3.0999999046325684,4.087196,3.0,4.09283,4.800000190734863,oslo,0,0,1,0,0,0
966,2022-04-15 22:00:00,2.710954,5.5,22,4,3.39427,2.700000047683716,3.613568,2.900000095367432,3.729802,3.299999952316284,3.790769,2.5999999046325684,3.926266,2.900000095367432,3.988677,3.0999999046325684,3.818094999999999,5.099999904632568,oslo,0,0,1,0,0,0
971,2022-04-15 23:00:00,2.641502,4.599999904632568,23,4,3.308527,2.400000095367432,3.39427,2.700000047683716,3.613568,2.900000095367432,3.698164,2.5,3.790769,2.5999999046325684,3.926266,2.900000095367432,3.660980999999999,4.699999809265137,oslo,0,0,1,0,0,0
1031,2022-04-16 11:00:00,2.6863529999999995,13.600000381469728,11,5,3.3030990000000005,12.800000190734863,3.441718,11.699999809265137,3.538637,10.800000190734863,3.783289,6.400000095367432,3.883971,5.900000095367432,4.017026,4.699999809265137,3.646769,5.0,oslo,0,0,1,0,0,0
1036,2022-04-16 12:00:00,2.6456960000000005,14.600000381469728,12,5,3.2161850000000007,13.300000190734863,3.3030990000000005,12.800000190734863,3.441718,11.699999809265137,3.664559999999999,7.0,3.783289,6.400000095367432,3.883971,5.900000095367432,3.572325,4.400000095367432,oslo,0,0,1,0,0,0
1041,2022-04-16 13:00:00,2.689914,15.399999618530272,13,5,3.147526,13.100000381469728,3.2161850000000007,13.300000190734863,3.3030990000000005,12.800000190734863,3.62264,7.599999904632568,3.664559999999999,7.0,3.783289,6.400000095367432,3.634216,3.0999999046325684,oslo,0,0,1,0,0,0
1046,2022-04-16 14:00:00,2.7335830000000008,15.100000381469728,14,5,3.146527,13.100000381469728,3.147526,13.100000381469728,3.2161850000000007,13.300000190734863,3.626122,8.300000190734863,3.62264,7.599999904632568,3.664559999999999,7.0,3.7682890000000007,2.900000095367432,oslo,0,0,1,0,0,0
1051,2022-04-16 15:00:00,2.82904,14.199999809265137,15,5,3.168855,12.899999618530272,3.146527,13.100000381469728,3.147526,13.100000381469728,3.672434,8.399999618530273,3.626122,8.300000190734863,3.62264,7.599999904632568,3.7637840000000016,3.0999999046325684,oslo,0,0,1,0,0,0
1056,2022-04-16 16:00:00,2.911814,12.899999618530272,16,5,3.210308,12.300000190734863,3.168855,12.899999618530272,3.146527,13.100000381469728,3.773992,8.300000190734863,3.672434,8.399999618530273,3.626122,8.300000190734863,3.919596,3.200000047683716,oslo,0,0,1,0,0,0
1061,2022-04-16 17:00:00,2.9165170000000007,11.0,17,5,3.288409,10.800000190734863,3.210308,12.300000190734863,3.168855,12.899999618530272,3.846802,8.199999809265137,3.773992,8.300000190734863,3.672434,8.399999618530273,3.990084,3.200000047683716,oslo,0,0,1,0,0,0
