,time,consumption,temperature,hour,day_of_week,load_t-24h,temperature_t-24h,load_t-25h,temperature_t-25h,load_t-26h,temperature_t-26h,load_t-48h,temperature_t-48h,load_t-49h,temperature_t-49h,load_t-50h,temperature_t-50h,load_t-72h,temperature_t-72h,original_location,location_bergen,location_helsingfors,location_oslo,location_stavanger,location_tromsø,location_trondheim
963,2022-04-15 21:00:00,1.035823,0.3000000119209289,21,4,1.081529,1.5,1.105861,1.5,1.130146,0.699999988079071,1.191047,1.2999999523162842,1.201885,1.2999999523162842,1.264833,1.600000023841858,1.246582,-1.2999999523162842,tromsø,0,0,0,0,1,0
968,2022-04-15 22:00:00,0.9869519999999998,1.2999999523162842,22,4,1.041081,1.5,1.081529,1.5,1.105861,1.5,1.1629259999999997,1.100000023841858,1.191047,1.2999999523162842,1.201885,1.2999999523162842,1.1803210000000002,-1.100000023841858,tromsø,0,0,0,0,1,0
973,2022-04-15 23:00:00,0.950249,1.5,23,4,1.0089659999999998,1.600000023841858,1.041081,1.5,1.081529,1.5,1.107251,0.5,1.1629259999999997,1.100000023841858,1.191047,1.2999999523162842,1.138952,-1.100000023841858,tromsø,0,0,0,0,1,0
1033,2022-04-16 11:00:00,1.024317,4.300000190734863,11,5,1.118007,3.5999999046325684,1.119318,3.5,1.115594,3.400000095367432,1.056743,2.400000095367432,1.07593,2.400000095367432,1.119823,2.400000095367432,1.058377,3.5999999046325684,tromsø,0,0,0,0,1,0
1038,2022-04-16 12:00:00,1.051727,4.900000095367432,12,5,1.1322979999999998,3.700000047683716,1.118007,3.5999999046325684,1.119318,3.5,1.05008,2.5999999046325684,1.056743,2.400000095367432,1.07593,2.400000095367432,1.041899,3.799999952316284,tromsø,0,0,0,0,1,0
1043,2022-04-16 13:00:00,1.076035,5.199999809265137,13,5,1.140597,4.0,1.1322979999999998,3.700000047683716,1.118007,3.5999999046325684,1.04113,2.799999952316284,1.05008,2.5999999046325684,1.056743,2.400000095367432,1.1040150000000002,4.0,tromsø,0,0,0,0,1,0
1048,2022-04-16 14:00:00,1.082411,5.199999809265137,14,5,1.130067,4.0,1.140597,4.0,1.1322979999999998,3.700000047683716,1.0533019999999995,2.700000047683716,1.04113,2.799999952316284,1.05008,2.5999999046325684,1.119471,4.0,tromsø,0,0,0,0,1,0
1053,2022-04-16 15:00:00,1.11158,5.0,15,5,1.1531910000000003,3.900000095367432,1.130067,4.0,1.140597,4.0,1.090124,2.700000047683716,1.0533019999999995,2.700000047683716,1.04113,2.799999952316284,1.1724369999999995,3.799999952316284,tromsø,0,0,0,0,1,0
1058,2022-04-16 16:00:00,1.107142,4.5,16,5,1.15993,3.700000047683716,1.1531910000000003,3.900000095367432,1.130067,4.0,1.134146,2.5999999046325684,1.090124,2.700000047683716,1.0533019999999995,2.700000047683716,1.195724,3.0999999046325684,tromsø,0,0,0,0,1,0
1063,2022-04-16 17:00:00,1.079824,4.300000190734863,17,5,1.163066,3.0999999046325684,1.15993,3.700000047683716,1.1531910000000003,3.900000095367432,1.140867,1.399999976158142,1.134146,2.5999999046325684,1.090124,2.700000047683716,1.239583,2.299999952316284,tromsø,0,0,0,0,1,0
